x,Baseline,Axis,AttackType,AttackActive,AbsResidual,Threshold_static_global,PointExceed_static_global,WindowCount_static_global,WindowDetection_static_global,Threshold_scenario_specific,PointExceed_scenario_specific,WindowCount_scenario_specific,WindowDetection_scenario_specific,Threshold_yaw_static_global,PointExceed_yaw_static_global,WindowCount_yaw_static_global,WindowDetection_yaw_static_global
2.599793,baseline_01_hover,Yaw,ramp,0,0.0002471923828579,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
2.699753,baseline_01_hover,Yaw,ramp,0,0.0001510620117528,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
2.799713,baseline_01_hover,Yaw,ramp,0,0.0001235961913721,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
2.899673,baseline_01_hover,Yaw,ramp,0,0.0001098632812386,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
2.999633,baseline_01_hover,Yaw,ramp,0,0.0001373291015625,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
3.099593,baseline_01_hover,Yaw,ramp,0,0.0001647949218863,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
3.199553,baseline_01_hover,Yaw,ramp,0,0.000151062011696,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
3.299513,baseline_01_hover,Yaw,ramp,0,1.3732910190356051e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
3.399473,baseline_01_hover,Yaw,ramp,0,0.0001373291015625,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
3.499433,baseline_01_hover,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
3.599393,baseline_01_hover,Yaw,ramp,0,0.0001373291015056,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
3.699353,baseline_01_hover,Yaw,ramp,0,5.493164070458079e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
3.799313,baseline_01_hover,Yaw,ramp,0,2.7465820323868684e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
