baseline_file,target,model,source_prediction_csv,residual_csv,time_source,n,mean,std,mae,rmse,max_abs,p95_abs,p99_abs,p995_abs,mean_abs,std_abs,mean_abs_plus_3std_abs,recommended_threshold,recommended_threshold_method
baseline_02_high_altitude_hover,Yaw,constant_velocity,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_02_high_altitude_hover_Yaw_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_02_high_altitude_hover,Yaw,arx,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_02_high_altitude_hover_Yaw_clean_residuals_v9.csv,t_Roll,282,-0.007698908858729771,0.0070111536752596555,0.007959265813410969,0.01040457401521931,0.036948344452810034,0.018088385168570642,0.03228131162030195,0.034003310223195825,0.007959265813410969,0.006713050968315507,0.02809841871835749,0.03228131162030195,p99_abs
baseline_03_forward_motion,Roll,hybrid,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_03_forward_motion_Roll_clean_residuals_v9.csv,t_Roll,227,0.0011105837562626353,0.002144847370741017,0.002053102417306403,0.0024111201909566052,0.009098303739668606,0.004749068985973249,0.006821474645033277,0.006984996748974011,0.002053102417306403,0.0012670213238293543,0.005854166388794466,0.006821474645033277,p99_abs
baseline_03_forward_motion,Roll,naive,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_03_forward_motion_Roll_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_03_forward_motion,Roll,constant_velocity,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_03_forward_motion_Roll_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_03_forward_motion,Roll,arx,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_03_forward_motion_Roll_clean_residuals_v9.csv,t_Roll,227,0.0053457742932535215,0.004447519362013612,0.006009658358985479,0.006947704140107169,0.016706519193617403,0.009355810696938,0.016236800274327393,0.01658017609579751,0.006009658358985479,0.0034940493183763088,0.016491806314114406,0.016236800274327393,p99_abs
baseline_03_forward_motion,Pitch,hybrid,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_03_forward_motion_Pitch_clean_residuals_v9.csv,t_Roll,227,0.0027393741569723276,0.004114081223358416,0.004016568157086177,0.004935106147432515,0.017539083165364303,0.008094560637036223,0.01618985189808802,0.01668584445902007,0.004016568157086177,0.002873818968024593,0.012638025061159956,0.01618985189808802,p99_abs
baseline_03_forward_motion,Pitch,naive,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_03_forward_motion_Pitch_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_03_forward_motion,Pitch,constant_velocity,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_03_forward_motion_Pitch_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_03_forward_motion,Pitch,arx,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_03_forward_motion_Pitch_clean_residuals_v9.csv,t_Roll,227,0.018184152071870983,0.02497794786086435,0.023335261218487165,0.030851463775732293,0.11539544133634641,0.051508947542311875,0.10944440118560433,0.11226802706972028,0.023335261218487165,0.02022573899240133,0.08401247819569116,0.10944440118560433,p99_abs
