path,file,n_columns,columns,true,pred,attacked,recovered,residual,detected,threshold,rmse,mae,improvement
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_BARO.csv,baseline_04_yaw_rotation_BARO.csv,13,timestamp | TimeUS | I | Alt | AltAMSL | Press | Temp | CRt | SMS | Offset | GndTemp | H | CPress,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_GPS.csv,baseline_04_yaw_rotation_GPS.csv,16,timestamp | TimeUS | I | Status | GMS | GWk | NSats | HDop | Lat | Lng | Alt | Spd | GCrs | VZ | Yaw | U,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_IMU.csv,baseline_04_yaw_rotation_IMU.csv,16,timestamp | TimeUS | I | GyrX | GyrY | GyrZ | AccX | AccY | AccZ | EG | EA | T | GH | AH | GHz | AHz,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_XKF1.csv,baseline_04_yaw_rotation_XKF1.csv,17,timestamp | TimeUS | C | Roll | Pitch | Yaw | VN | VE | VD | dPD | PN | PE | PD | GX | GY | GZ | OH,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,baseline_05_mixed_maneuver_ATT.csv,9,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_BARO.csv,baseline_05_mixed_maneuver_BARO.csv,13,timestamp | TimeUS | I | Alt | AltAMSL | Press | Temp | CRt | SMS | Offset | GndTemp | H | CPress,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_GPS.csv,baseline_05_mixed_maneuver_GPS.csv,16,timestamp | TimeUS | I | Status | GMS | GWk | NSats | HDop | Lat | Lng | Alt | Spd | GCrs | VZ | Yaw | U,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_IMU.csv,baseline_05_mixed_maneuver_IMU.csv,16,timestamp | TimeUS | I | GyrX | GyrY | GyrZ | AccX | AccY | AccZ | EG | EA | T | GH | AH | GHz | AHz,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_XKF1.csv,baseline_05_mixed_maneuver_XKF1.csv,17,timestamp | TimeUS | C | Roll | Pitch | Yaw | VN | VE | VD | dPD | PN | PE | PD | GX | GY | GZ | OH,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/recovered_csv/baseline_01_hover_BARO_ATTACKED_BARO_recovered.csv,baseline_01_hover_BARO_ATTACKED_BARO_recovered.csv,20,timestamp | TimeUS | I | Alt | AltAMSL | Press | Temp | CRt | SMS | Offset | GndTemp | H | CPress | TimeSec | AttackActive_BARO | Alt_attacked | SoftwareSensor_Alt | Residual_Alt | DetectionFlag_Alt | Recovered_Alt,0,1,1,1,1,1,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/recovered_csv/baseline_01_hover_GPS_ATTACKED_GPS_recovered.csv,baseline_01_hover_GPS_ATTACKED_GPS_recovered.csv,28,timestamp | TimeUS | I | Status | GMS | GWk | NSats | HDop | Lat | Lng | Alt | Spd | GCrs | VZ | Yaw | U | TimeSec | AttackActive_GPS | Lat_attacked | Lng_attacked | SoftwareSensor_Lat | Residual_Lat | DetectionFlag_Lat | Recovered_Lat | SoftwareSensor_Lng | Residual_Lng | DetectionFlag_Lng | Recovered_Lng,0,1,1,1,1,1,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/recovered_csv/baseline_01_hover_IMU_ATTACKED_IMU_recovered.csv,baseline_01_hover_IMU_ATTACKED_IMU_recovered.csv,23,timestamp | TimeUS | I | GyrX | GyrY | GyrZ | AccX | AccY | AccZ | EG | EA | T | GH | AH | GHz | AHz | TimeSec | AttackActive_IMU | GyrZ_attacked | SoftwareSensor_GyrZ | Residual_GyrZ | DetectionFlag_GyrZ | Recovered_GyrZ,0,1,1,1,1,1,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/recovered_csv/baseline_02_high_altitude_hover_BARO_ATTACKED_BARO_recovered.csv,baseline_02_high_altitude_hover_BARO_ATTACKED_BARO_recovered.csv,20,timestamp | TimeUS | I | Alt | AltAMSL | Press | Temp | CRt | SMS | Offset | GndTemp | H | CPress | TimeSec | AttackActive_BARO | Alt_attacked | SoftwareSensor_Alt | Residual_Alt | DetectionFlag_Alt | Recovered_Alt,0,1,1,1,1,1,0,0,0,0
