baseline,source_clean_file,attacked_file,axis,attack_type,magnitude,threshold_p99_abs,n_samples
baseline_04_yaw_rotation,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_04_yaw_rotation__baseline_04_yaw_rotation_ATT__attack_bias_Yaw.csv,Yaw,bias,0.015188,0.003797,1848
baseline_04_yaw_rotation,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_04_yaw_rotation__baseline_04_yaw_rotation_ATT__attack_ramp_Yaw.csv,Yaw,ramp,0.022782,0.003797,1848
baseline_04_yaw_rotation,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_04_yaw_rotation__baseline_04_yaw_rotation_ATT__attack_pulse_Yaw.csv,Yaw,pulse,0.030376,0.003797,1848
baseline_05_mixed_maneuver,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_05_mixed_maneuver__baseline_05_mixed_maneuver_ATT__attack_bias_Roll.csv,Roll,bias,0.041228,0.010307,2388
baseline_05_mixed_maneuver,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_05_mixed_maneuver__baseline_05_mixed_maneuver_ATT__attack_ramp_Roll.csv,Roll,ramp,0.061842,0.010307,2388
baseline_05_mixed_maneuver,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_05_mixed_maneuver__baseline_05_mixed_maneuver_ATT__attack_pulse_Roll.csv,Roll,pulse,0.082456,0.010307,2388
baseline_05_mixed_maneuver,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_05_mixed_maneuver__baseline_05_mixed_maneuver_ATT__attack_bias_Pitch.csv,Pitch,bias,0.038788,0.009697,2388
baseline_05_mixed_maneuver,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_05_mixed_maneuver__baseline_05_mixed_maneuver_ATT__attack_ramp_Pitch.csv,Pitch,ramp,0.058182000000000005,0.009697,2388
baseline_05_mixed_maneuver,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_05_mixed_maneuver__baseline_05_mixed_maneuver_ATT__attack_pulse_Pitch.csv,Pitch,pulse,0.077576,0.009697,2388
baseline_05_mixed_maneuver,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_05_mixed_maneuver__baseline_05_mixed_maneuver_ATT__attack_bias_Yaw.csv,Yaw,bias,0.01918,0.004795,2388
baseline_05_mixed_maneuver,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_05_mixed_maneuver__baseline_05_mixed_maneuver_ATT__attack_ramp_Yaw.csv,Yaw,ramp,0.028769999999999997,0.004795,2388
baseline_05_mixed_maneuver,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_05_mixed_maneuver__baseline_05_mixed_maneuver_ATT__attack_pulse_Yaw.csv,Yaw,pulse,0.03836,0.004795,2388
