timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1778788606.65942192,279844684,0,0.06,0.09,82.96,-0.015605369582772255,-0.01695067435503006,0.5001866221427917,0.49919959902763367,5.923347473144531,-0.7634148001670837,-3.9078011512756348,0.21,0.21,0.19,584.09
1778788606.65942192,279844684,1,0.06,0.1,82.97,-0.016474423930048943,-0.016980038955807686,0.49980515241622925,0.49873244762420654,5.923148155212402,-0.7632752656936646,-3.896801233291626,0.21,0.21,0.19,584.08
1778788606.75938201,279944644,0,0.06,0.1,82.96,-0.015464209020137787,-0.01698593609035015,0.5003214478492737,0.4992002546787262,5.923425197601318,-0.7630427479743958,-3.857907295227051,0.21,0.21,0.19,584.09
1778788606.75938201,279944644,1,0.06,0.1,82.97,-0.016378358006477356,-0.017084181308746338,0.4999080002307892,0.499033123254776,5.923093795776367,-0.7630230188369751,-3.846907615661621,0.21,0.21,0.19,584.08
1778788606.85934210,280044604,0,0.06,0.11,82.96,-0.01535029336810112,-0.01714048907160759,0.5004480481147766,0.4994797706604004,5.9235382080078125,-0.7626172304153442,-3.8079726696014404,0.21,0.21,0.19,584.09
1778788606.85934210,280044604,1,0.07,0.11,82.97,-0.016209624707698822,-0.017207806929945946,0.5001736283302307,0.500053346157074,5.923121929168701,-0.7626755237579346,-3.7969188690185547,0.21,0.21,0.19,584.08
1778788606.95930195,280144564,0,0.07,0.11,82.96,-0.01539230439811945,-0.017391858622431755,0.5004956126213074,0.4998527765274048,5.923613548278809,-0.7622514367103577,-3.7580113410949707,0.21,0.21,0.19,584.09
1778788606.95930195,280144564,1,0.07,0.11,82.97,-0.016305606812238693,-0.017462899908423424,0.5001588463783264,0.5008310675621033,5.923142433166504,-0.7623540163040161,-3.7468745708465576,0.21,0.21,0.19,584.08
1778788607.05926204,280244524,0,0.07,0.12,82.96,-0.015453682281076908,-0.017680630087852478,0.5004978775978088,0.49987679719924927,5.923708915710449,-0.7618861794471741,-3.708045482635498,0.21,0.21,0.19,584.09
1778788607.05926204,280244524,1,0.07,0.12,82.97,-0.016312191262841225,-0.017817605286836624,0.5002524256706238,0.5011983513832092,5.923198223114014,-0.7620173692703247,-3.696800708770752,0.21,0.21,0.19,584.08
