timestamp,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,TimeSec,AttackActive_IMU,GyrZ_attacked,SoftwareSensor_GyrZ,Residual_GyrZ,DetectionFlag_GyrZ,Recovered_GyrZ
1778788455.180038,128365300,0,0.0038676830008625,0.0032983422279357,0.0021251211874186,-0.0004253739898558,0.0001217242825077,-9.816225051879885,0,0,31.878803253173828,1,1,1000,1000,62.480831,0,0.0021251211874186,0.0021251211874186,0.0,0,0.0021251211874186
1778788455.180038,128365300,1,0.0036523132584989,0.0034202351234853,0.0020071677863597,9.14081247174181e-05,-0.0006387630128301,-9.817079544067385,0,0,31.878761291503903,1,1,760,800,62.480831,0,0.0020071677863597,0.0020071677863597,0.0,0,0.0020071677863597
1778788455.220022,128405284,0,0.0029764575883746,0.0031581190414726,0.0018383236601948,-0.0007353507680818,-0.0011526899179443,-9.815701484680176,0,0,31.88055419921875,1,1,1000,1000,62.520815,0,0.0018383236601948,0.0018383236601948,0.0,0,0.0018383236601948
1778788455.220022,128405284,1,0.0027222230564802,0.0031807809136807,0.001915191183798,-0.0002004722919082,-0.0009221058571711,-9.81568717956543,0,0,31.880510330200195,1,1,760,800,62.520815,0,0.001915191183798,0.001915191183798,0.0,0,0.001915191183798
1778788455.260006,128445268,0,0.0029929177835583,0.0028595703188329,0.0016151061281561,-2.8261138140806e-07,-0.0006618883344344,-9.816164016723633,0,0,31.88230323791504,1,1,1000,1000,62.560799,0,0.0016151061281561,0.0016151061281561,0.0,0,0.0016151061281561
1778788455.260006,128445268,1,0.0029901305679231,0.0029281009919941,0.0016513759037479,0.0002057813981082,-0.0002692135749384,-9.815836906433104,0,0,31.882259368896484,1,1,760,800,62.560799,0,0.0016513759037479,0.0016513759037479,0.0,0,0.0016513759037479
1778788455.29999,128485252,0,0.0034649106673896,0.0020970935001969,0.0014209281653165,-0.0005343796219676,-0.0009689682046882,-9.81722927093506,0,0,31.884052276611328,1,1,1000,1000,62.600783,0,0.0014209281653165,0.0014209281653165,0.0,0,0.0014209281653165
1778788455.29999,128485252,1,0.0033040924463421,0.0020652688108384,0.0015574978897348,-0.0001243532751686,0.00054569094209,-9.817275047302246,0,0,31.884008407592773,1,1,760,800,62.600783,0,0.0015574978897348,0.0015574978897348,0.0,0,0.0015574978897348
1778788455.339974,128525236,0,0.0032156663946807,0.0024624445941299,0.0013385848142206,-0.0014261701144278,-0.0011187940835952,-9.809229850769045,0,0,31.885799407958984,1,1,1000,1000,62.640767,0,0.0013385848142206,0.0013385848142206,0.0,0,0.0013385848142206
1778788455.339974,128525236,1,0.0033846490550786,0.0023729219101369,0.0013723036972805,-0.0018218938494101,-0.0003158630570396,-9.80770206451416,0,0,31.885757446289062,1,1,760,800,62.640767,0,0.0013723036972805,0.0013723036972805,0.0,0,0.0013723036972805
1778788455.379958,128565220,0,0.0019290122436359,0.0027456965763121,0.0014160926220938,-0.0003299928212072,-0.0006809277692809,-9.812456130981444,0,0,31.88750457763672,1,1,1000,1000,62.680751,0,0.0014160926220938,0.0014160926220938,0.0,0,0.0014160926220938
1778788455.379958,128565220,1,0.001892052241601,0.0027587553486227,0.0014664514455944,0.0009175179293379,-0.0020719026215374,-9.8121976852417,0,0,31.88750457763672,1,1,760,800,62.680751,0,0.0014664514455944,0.0014664514455944,0.0,0,0.0014664514455944
1778788455.419942,128605204,0,0.0026867252308875,0.0022304318845272,0.0015426634345203,-0.0001740970619721,-0.0019436352886259,-9.81571102142334,0,0,31.88925170898437,1,1,1000,1000,62.720735,0,0.0015426634345203,0.0015426634345203,0.0,0,0.0015426634345203
1778788455.419942,128605204,1,0.0027851986233145,0.0021787940058857,0.0014202860184013,-0.0011784435482695,0.0019147486891597,-9.817034721374512,0,0,31.88925170898437,1,1,760,800,62.720735,0,0.0014202860184013,0.0014202860184013,0.0,0,0.0014202860184013
