timestamp,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,TimeSec,AttackActive_GPS,Lat_attacked,Lng_attacked,SoftwareSensor_Lat,Residual_Lat,DetectionFlag_Lat,Recovered_Lat,SoftwareSensor_Lng,Residual_Lng,DetectionFlag_Lng,Recovered_Lng
1778782191.4000192,74585154,0,6,411009400,2418,10,1.21,-35.3632621,149.1652374,584.11,0.0,307.5263061523437,-0.1469999998807907,0.0,1,6.200019,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
1778782191.599939,74785074,0,6,411009600,2418,10,1.21,-35.3632621,149.1652374,584.15,0.0,306.34259033203125,-0.2580000162124634,0.0,1,6.399939,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
1778782191.799859,74984994,0,6,411009800,2418,10,1.21,-35.3632621,149.1652374,584.23,0.0010000000474974,306.4402160644531,-0.5910000205039978,0.0,1,6.599859,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
1778782191.9997792,75184914,0,6,411010000,2418,10,1.21,-35.3632621,149.1652374,584.39,0.0080000003799796,307.03009033203125,-1.055999994277954,0.0,1,6.799779,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
1778782192.1996992,75384834,0,6,411010200,2418,10,1.21,-35.3632621,149.1652374,584.63,0.021000001579523,307.125732421875,-1.1950000524520874,0.0,1,6.999699,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
1778782192.399619,75584754,0,6,411010400,2418,10,1.21,-35.3632621,149.1652373,584.86,0.0340000018477439,307.03759765625,-1.1970000267028809,0.0,1,7.199619,0,-35.3632621,149.1652373,-35.3632621,0.0,0,-35.3632621,149.1652373,0.0,0,149.1652373
1778782192.599539,75784674,0,6,411010600,2418,10,1.21,-35.363262,149.1652373,585.11,0.0420000031590461,306.9924621582031,-1.3480000495910645,0.0,1,7.399539,0,-35.363262,149.1652373,-35.363262,0.0,0,-35.363262,149.1652373,0.0,0,149.1652373
1778782192.7994592,75984594,0,6,411010800,2418,10,1.21,-35.363262,149.1652372,585.4,0.0410000011324882,307.2059326171875,-1.5470000505447388,0.0,1,7.599459,0,-35.363262,149.1652372,-35.363262,0.0,0,-35.363262,149.1652372,0.0,0,149.1652372
1778782192.9993792,76184514,0,6,411011000,2418,10,1.21,-35.3632619,149.1652371,585.73,0.0360000021755695,307.8650817871094,-1.749000072479248,0.0,1,7.799379,0,-35.3632619,149.1652371,-35.3632619,0.0,0,-35.3632619,149.1652371,0.0,0,149.1652371
1778782193.199299,76384434,0,6,411011200,2418,10,1.21,-35.3632619,149.165237,586.1,0.0290000010281801,309.1060791015625,-1.9580000638961792,0.0,1,7.999299,0,-35.3632619,149.165237,-35.3632619,0.0,0,-35.3632619,149.165237,0.0,0,149.165237
1778782193.400052,76585187,0,6,411011400,2418,10,1.21,-35.3632619,149.165237,586.52,0.021000001579523,311.1820983886719,-2.1700000762939453,0.0,1,8.200052,0,-35.3632619,149.165237,-35.3632619,0.0,0,-35.3632619,149.165237,0.0,0,149.165237
1778782193.599972,76785107,0,6,411011600,2418,10,1.21,-35.3632619,149.165237,586.97,0.0140000004321336,314.88824462890625,-2.3570001125335693,0.0,1,8.399972,0,-35.3632619,149.165237,-35.3632619,0.0,0,-35.3632619,149.165237,0.0,0,149.165237
