run_id,n_files,success_count_rmse,fail_count_rmse,success_rate_rmse_percent,success_count_mae,fail_count_mae,success_rate_mae_percent,run_success_all_rmse,run_success_all_mae,mean_original_rmse,mean_heuristic_rmse,mean_heuristic_improvement_over_original_rmse_percent,mean_original_mae,mean_heuristic_mae,config_run_id,config_hover_speed_threshold,config_accel_low_threshold,config_accel_high_threshold,config_gyro_high_threshold,config_smoothing_previous,config_smoothing_target,config_hover_w_naive,config_hover_w_cv,config_hover_w_arx,config_translation_w_naive,config_translation_w_cv,config_translation_w_arx,config_maneuver_w_naive,config_maneuver_w_cv,config_maneuver_w_arx
33,24,20,4,83.33333333333333,20,4,83.33333333333333,False,False,0.0015963915477515288,0.0013233005617211077,30.146396154221488,0.0005646334334951755,0.00046225981132115595,33,0.7152845848607075,0.7978719506108284,3.26871823227484,0.3846449489718132,0.8854413986281496,0.11455860137185037,0.6660659566531472,0.11623351031257159,0.21770053303428122,0.24837693895504817,0.5402877609914847,0.2113353000534671,0.09294114652638706,0.17210067895352346,0.7349581745200895
34,24,12,12,50.0,13,11,54.166666666666664,False,False,0.0015963915477515288,0.0013876978404637676,8.845853087043313,0.0005646334334951755,0.0004901477875177491,34,0.4358575535410923,0.5697095684187623,2.4653425006665266,0.11226832768227007,0.8416270663510736,0.15837293364892635,0.7304007193392881,0.20874759121672187,0.06085168944398999,0.1787030160872808,0.6400500720724397,0.18124691184027952,0.04491798343482783,0.21460644372716575,0.7404755728380065
35,24,18,6,75.0,18,6,75.0,False,False,0.0015963915477515288,0.0015012255165799211,20.714726528284526,0.0005646334334951755,0.0005295840003547796,35,0.5920397071021126,0.9455229864979681,3.177647072683852,0.39451755925313126,0.8684685852069881,0.1315314147930119,0.5946577052475434,0.14858233999679202,0.25675995475566465,0.24228585099166852,0.6186083065733065,0.1391058424350249,0.15841874829711514,0.2468070472004638,0.5947742045024211
36,24,0,24,0.0,0,24,0.0,False,False,0.0015963915477515288,0.0037383621984416675,-95.15829855800189,0.0005646334334951755,0.0013282815717461447,36,0.41026934716190944,0.46942163462143616,2.2306309461049323,0.06306116897602186,0.8605033178657089,0.13949668213429112,0.7647272457681478,0.14667310574383705,0.08859964848801519,0.21666162479029458,0.5137576835208267,0.2695806916888787,0.007273724517620888,0.2566849561806059,0.7360413193017733
37,24,24,0,100.0,24,0,100.0,True,True,0.0015963915477515288,0.0010133116842873224,46.12463785238358,0.0005646334334951755,0.00034232338069648053,37,0.3135510231701562,0.8927496480093358,1.5553238462687695,0.2577642998231803,0.809051234027953,0.19094876597204702,0.7442241041913391,0.11219189644770577,0.14358399936095512,0.2517757654418255,0.4989501961415213,0.2492740384166533,0.24841592407209478,0.2249026082375282,0.526681467690377
38,24,19,5,79.16666666666667,19,5,79.16666666666667,False,False,0.0015963915477515288,0.0012882499989070168,30.12839234062771,0.0005646334334951755,0.0004586261000067914,38,0.30969164352500533,0.7894190479225337,3.4997926141457207,0.20748215467408276,0.9170259367849775,0.08297406321502254,0.6458648830688447,0.1670200787217884,0.18711503820936684,0.3845956638362199,0.5509604271567372,0.06444390900704307,0.04154360831002347,0.15722679577857912,0.8012295959113974
39,24,24,0,100.0,24,0,100.0,True,True,0.0015963915477515288,0.000776047935588658,57.10313518436237,0.0005646334334951755,0.0002497654013471847,39,0.5819847909650095,0.46796454090650363,2.8237961853038396,0.3951041442603084,0.8302020458062045,0.1697979541937955,0.7072631230991253,0.21980349433956117,0.07293338256131358,0.25409178488624795,0.675098973516568,0.07080924159718409,0.006727184798189806,0.21920758205675173,0.7740652331450585
40,24,13,11,54.166666666666664,12,12,50.0,False,False,0.0015963915477515288,0.002245403816343215,-18.873606114055978,0.0005646334334951755,0.0008048749549531688,40,0.779086419102948,0.6466544415166273,2.8587830863613037,0.08419841502937699,0.9243105948679364,0.07568940513206357,0.7072082981222524,0.06936239197841461,0.22342930989933313,0.29575135658144935,0.620573670593466,0.0836749728250846,0.20608639190835013,0.31330286023888576,0.4806107478527641
41,24,17,7,70.83333333333333,18,6,75.0,False,False,0.0015963915477515288,0.0014605920710007983,22.63980362938123,0.0005646334334951755,0.0005181706656288464,41,0.5141890066173722,0.6205708762180562,2.388411776773425,0.20355402868757744,0.9529236128599239,0.047076387140076115,0.6956306945770249,0.06342152159068097,0.2409477838322941,0.19498142927693848,0.5926052598976463,0.2124133108254152,0.08073924520296456,0.2646236748285278,0.6546370799685077
42,24,20,4,83.33333333333333,20,4,83.33333333333333,False,False,0.0015963915477515288,0.001337226456083406,29.578371493256856,0.0005646334334951755,0.0004668353659507815,42,0.4350411981937004,1.058199218806756,2.4608890395085754,0.26757387674743827,0.878403408740701,0.121596591259299,0.6795416570317222,0.09874376626336502,0.2217145767049129,0.2854127983102566,0.4146089409070115,0.2999782607827319,0.05926036571869185,0.2553004978970939,0.6854391363842142
43,24,14,10,58.333333333333336,14,10,58.333333333333336,False,False,0.0015963915477515288,0.0016037049471266326,5.991773854606161,0.0005646334334951755,0.0005865732338300194,43,0.489494652064132,0.2786999977700896,3.164643881703033,0.1318279357209613,0.8381815730323531,0.16181842696764692,0.6717735528827775,0.10943296406545586,0.2187934830517666,0.3160002815166626,0.6196171157766857,0.06438260270665183,0.21030342623083406,0.11531722902726413,0.6743793447419019
44,24,24,0,100.0,24,0,100.0,True,True,0.0015963915477515288,0.0008439085949700599,55.37827472740133,0.0005646334334951755,0.0002740134041637723,44,0.5442889234243937,1.0081646534824664,2.8038710137546765,0.3406563048834285,0.8883478403141455,0.11165215968585451,0.8224364924224407,0.07281270406524348,0.1047508035123158,0.2563861944504695,0.5201494200630931,0.22346438548643743,0.11635000499353969,0.2810753955439396,0.6025745994625206
45,24,18,6,75.0,18,6,75.0,False,False,0.0015963915477515288,0.0010952801910347886,31.017571398744764,0.0005646334334951755,0.0003863266672860354,45,0.6729677183568048,0.5807912971959301,2.83142361991798,0.17191239213928836,0.8452526617161695,0.15474733828383047,0.7688653694093766,0.12741869385096377,0.10371593673965955,0.2063878968209795,0.6902562264836246,0.10335587669539588,0.04981880844245317,0.2481627103353813,0.7020184812221655
46,24,15,9,62.5,14,10,58.333333333333336,False,False,0.0015963915477515288,0.0015996124156345403,8.964097790028513,0.0005646334334951755,0.0005914990197319909,46,0.7883035114415284,0.7746368691086079,1.8867470823686487,0.09523674864085585,0.8349411640563933,0.1650588359436067,0.8092618067465862,0.12192591746219344,0.06881227579122028,0.19791934739874462,0.4798520438323152,0.32222860876894016,0.14630215210203304,0.36390120087944783,0.4897966470185191
47,24,24,0,100.0,24,0,100.0,True,True,0.0015963915477515288,0.0007346677210363629,60.708042937031,0.0005646334334951755,0.00022936808179591103,47,0.734230598631472,0.7408786945237789,3.213619403746703,0.3083288988318495,0.8844914500874919,0.11550854991250814,0.8158553486453188,0.11133241722697144,0.07281223412770975,0.272382540916127,0.4844833248668134,0.24313413421705954,0.10647728397997627,0.1338487972242264,0.7596739187957974
48,24,18,6,75.0,18,6,75.0,False,False,0.0015963915477515288,0.0013315193888004523,26.019257654465054,0.0005646334334951755,0.000477633410827688,48,0.32680453714626656,0.39919758447365516,2.5163890934402695,0.18672598032900245,0.9789052620878396,0.021094737912160433,0.5719276769215791,0.2331492073766689,0.19492311570175203,0.2918127956348711,0.49811070186160267,0.2100765025035263,0.09404022159733297,0.21287463548122593,0.6930851429214412
49,24,24,0,100.0,24,0,100.0,True,True,0.0015963915477515288,0.0008078020939475076,57.10767458866957,0.0005646334334951755,0.0002608459171504844,49,0.7950156302333989,0.5553802443193604,2.6473114724123343,0.32433391051030863,0.933216074987218,0.06678392501278196,0.81156954930749,0.09384273257883075,0.09458771811367929,0.3051652469680946,0.5692110295949125,0.1256237234369929,0.02519108938910987,0.1354935007375116,0.8393154098733785
50,24,19,5,79.16666666666667,19,5,79.16666666666667,False,False,0.0015963915477515288,0.001403231786295693,25.387071352851276,0.0005646334334951755,0.0004952244291228807,50,0.5969055975597817,0.5412592890310276,1.7708215277510582,0.36813012344556495,0.9265377604568691,0.07346223954313091,0.5850379747604265,0.1830814808408928,0.2318805443986807,0.24170000608742193,0.5486694100736326,0.20963058383894548,0.2021807993585184,0.21550393861003975,0.5823152620314419
51,24,12,12,50.0,12,12,50.0,False,False,0.0015963915477515288,0.0026116866022236336,-36.18743966540498,0.0005646334334951755,0.000927109538099746,51,0.6238173617012404,1.158411445212606,3.1099201092126343,0.08213442658511637,0.8298661020597304,0.17013389794026956,0.6049125385276901,0.21821032749612324,0.17687713397618676,0.1620342075197286,0.5335466889957643,0.30441910348450707,0.13937738660789833,0.3425500458001314,0.5180725675919703
52,24,18,6,75.0,18,6,75.0,False,False,0.0015963915477515288,0.0016348547014891565,14.38346365198133,0.0005646334334951755,0.0005759433152771915,52,0.5468976096725422,0.330441851899301,1.3396867644131294,0.24441289887234768,0.858017885004494,0.14198211499550595,0.6370310631358589,0.07276345040083328,0.29020548646330785,0.23756957984753654,0.49765270941473866,0.2647777107377248,0.22312936764510907,0.2993878309406977,0.4774828014141931
53,24,21,3,87.5,21,3,87.5,False,False,0.0015963915477515288,0.0012898102361576585,31.070188192207137,0.0005646334334951755,0.00045352816230041104,53,0.3201158365723081,1.006268830412557,2.3086268523161753,0.3431792702451589,0.9648931018268181,0.03510689817318191,0.6023477781158055,0.1927568084429811,0.20489541344121337,0.2505288990920697,0.5536469945060888,0.1958241064018415,0.06683596694021134,0.26833712561404266,0.664826907445746
54,24,24,0,100.0,24,0,100.0,True,True,0.0015963915477515288,0.0009497643255782462,48.92079245475916,0.0005646334334951755,0.00032122674172351917,54,0.4649018317894827,0.9436736739834325,1.8984900395632756,0.47533709280344477,0.9464418862528351,0.053558113747164904,0.7175143880828508,0.15819044291202589,0.12429516900512316,0.13285817660809687,0.712345480116384,0.15479634327551905,0.09870865650798051,0.34208129194802245,0.559210051543997
55,24,22,2,91.66666666666667,24,0,100.0,False,True,0.0015963915477515288,0.0009081829523377914,49.31288682193547,0.0005646334334951755,0.00030989658871028537,55,0.5712967971785975,0.6632475707993215,1.672060718137686,0.21280071161825387,0.9361597677300033,0.06384023226999669,0.6928336104623263,0.21625689706590143,0.09090949247177231,0.1839899286370556,0.6605748628958663,0.15543520846707812,0.1450294323826016,0.11839064494146853,0.73657992267593
56,24,18,6,75.0,18,6,75.0,False,False,0.0015963915477515288,0.0014678935995841417,21.280766178490165,0.0005646334334951755,0.0005218684412982119,56,0.6044358335409825,0.48929746232765037,1.606350868561773,0.2978775531512015,0.8994052536296719,0.10059474637032806,0.5027294662770532,0.25719142934765354,0.24007910437529328,0.20152033720050488,0.4780277764862212,0.3204518863132739,0.11027557939981708,0.3104960337363583,0.5792283868638245
57,24,15,9,62.5,17,7,70.83333333333333,False,False,0.0015963915477515288,0.0012983623056351092,21.6120904300067,0.0005646334334951755,0.00047319108883887357,57,0.4367124483566371,1.0847239455766944,3.455550423357595,0.15967890773381227,0.8992277138384845,0.10077228616151546,0.599286804211541,0.24563966485728933,0.15507353093116974,0.26319079484729796,0.6253639902121284,0.11144521494057365,0.1507811600915258,0.18721899574703954,0.6619998441614348
58,24,21,3,87.5,19,5,79.16666666666667,False,False,0.0015963915477515288,0.0009070193833450165,43.87263284055542,0.0005646334334951755,0.0003074580897081481,58,0.5538688379048282,1.0705494731855785,1.88638771238636,0.18435013239729525,0.905648790034549,0.09435120996545099,0.7760829939636437,0.14873519759675644,0.0751818084395998,0.21920265019669716,0.5574493866574007,0.22334796314590205,0.14209301079060643,0.2712750304880581,0.5866319587213356
