t_sec,TimeUS,DesRoll,DesPitch,DesYaw,PN,PE,PD,Roll,Pitch,Yaw,VN,VE,VD,GX,GY,GZ
168.000273,239144304,0.0643545091152191,0.1365345120429992,172.5866241455078,-0.0293023753911256,0.036827128380537,0.0234219990670681,0.09,0.07,172.58,0.0123362690210342,-0.0252962000668048,-0.1013464778661727,0.18,0.18,0.16
168.100233,239244264,0.0570031479001045,0.1437196284532547,172.58660888671875,-0.0296238344162702,0.0366123914718627,0.0205932855606079,0.09,0.07,172.58,0.0127550764009356,-0.0247504916042089,-0.0246193632483482,0.18,0.18,0.16
168.200193,239344224,0.0549510419368743,0.1462693810462951,172.58660888671875,-0.0298687368631362,0.0364494323730468,0.0236243549734354,0.09,0.07,172.58,0.012982765212655,-0.0243514105677604,0.019889174029231,0.18,0.18,0.16
168.300153,239444184,0.0560697205364704,0.1477520912885666,172.58660888671875,-0.0301201455295085,0.036349955946207,0.0272712390869855,0.09,0.07,172.57,0.0129692247137427,-0.0241731386631727,0.0271024573594331,0.18,0.18,0.16
168.400113,239544144,0.0573537684977054,0.1515568941831588,172.5866241455078,-0.0303343441337347,0.0362116321921348,0.0293442010879516,0.09,0.07,172.57,0.0129404868930578,-0.0242063347250223,0.0162959806621074,0.18,0.18,0.16
168.500073,239644104,0.0538451299071311,0.1545468866825103,172.5866241455078,-0.0305819008499383,0.0361267030239105,0.0299098398536443,0.09,0.07,172.57,0.0128212627023458,-0.0241631213575601,0.0052813650108873,0.18,0.18,0.16
168.600033,239744064,0.0061704595573246,0.1112600564956665,172.5865936279297,-0.0307830292731523,0.0359721630811691,0.0294865015894174,0.09,0.07,172.57,0.0127903381362557,-0.0241169799119234,0.0005667741643264,0.18,0.18,0.16
168.699993,239844024,-0.0678392127156257,0.0378527827560901,172.5866241455078,-0.0310097299516201,0.0358964912593364,0.0288689229637384,0.09,0.07,172.57,0.0127883963286876,-0.0240061786025762,0.0009216052130796,0.18,0.18,0.16
168.800786,239944817,-0.1232907101511955,-0.0175394210964441,172.5867156982422,-0.0311780851334333,0.0357558615505695,0.0284382421523332,0.09,0.07,172.57,0.012808266095817,-0.0239303391426801,0.0028852205723524,0.18,0.18,0.16
168.900746,240044777,-0.1598531901836395,-0.0530401840806007,172.5867919921875,-0.0313784442842006,0.0357031151652336,0.028097091242671,0.09,0.07,172.57,0.0128167038783431,-0.023800978437066,0.0042025856673717,0.18,0.18,0.16
