t_sec,TimeUS,DesRoll,DesPitch,DesYaw,PN,PE,PD,Roll,Pitch,Yaw,VN,VE,VD,GX,GY,GZ
4.499866,59145499,-0.000142083314131,8.693461859365925e-05,354.720947265625,-0.001180678140372,0.0012904613977298,-0.0035389950498938,0.12,0.11,354.72,-0.0032081648241728,0.0034876524005085,7.568155706394464e-05,0.02,0.02,-0.07
4.599826,59245459,-0.0001420833577867,8.693461131770164e-05,354.7174987792969,-0.0013049937551841,0.0014314220752567,-0.0035372911952435,0.12,0.11,354.71,-0.003576444927603,0.0039696656167507,7.924845704110339e-05,0.02,0.02,-0.07
4.699786,59345419,-0.0001420833432348,8.693459676578641e-05,354.71392822265625,-0.0014784827362746,0.0016333505045622,-0.0035369452089071,0.12,0.11,354.71,-0.0039490684866905,0.0044375928118824,4.264109520590864e-05,0.02,0.02,-0.07
4.799746,59445379,-0.0001420832704752,8.693456766195595e-05,354.7103576660156,-0.0016106148250401,0.001794321462512,-0.0035423105582594,0.12,0.11,354.71,-0.0042636608704924,0.0048879473470151,7.0947103267826606e-06,0.02,0.02,-0.07
4.899706,59545339,-0.000142083299579,8.693455311004072e-05,354.7069396972656,-0.0017936505610123,0.0020206156186759,-0.0035444814711809,0.12,0.11,354.7,-0.0046344590373337,0.0053382469341158,8.13223232398741e-05,0.02,0.02,-0.07
4.999666,59645299,-0.000142083314131,8.693455311004072e-05,354.7034912109375,-0.0019332123920321,0.0021954665426164,-0.0035460549406707,0.13,0.12,354.7,-0.0050026439130306,0.0058180391788482,4.559346052701585e-05,0.02,0.02,-0.07
5.099626,59745259,-0.000142083299579,8.693455311004072e-05,354.699951171875,-0.0021348705049604,0.0024429473560303,-0.0035516221541911,0.13,0.12,354.69,-0.0053830211982131,0.006305830553174,-2.400794801360462e-05,0.02,0.02,-0.07
5.199586,59845219,-0.0001420832704752,8.693450945429504e-05,354.6963195800781,-0.0022828551009297,0.0026274488773196,-0.0035559793468564,0.13,0.12,354.69,-0.0057503995485603,0.0067531303502619,6.68103984935442e-06,0.02,0.02,-0.07
5.299546,59945179,-0.0001420832559233,8.693450217833742e-05,354.69256591796875,-0.0025012325495481,0.0028936669696122,-0.0035557043738663,0.13,0.12,354.69,-0.0061511620879173,0.0072218519635498,3.30909933836665e-05,0.02,0.02,-0.07
5.399506,60045139,-0.000142083314131,8.693450217833742e-05,354.6888732910156,-0.0026642126031219,0.003095077117905,-0.0035581581760197,0.13,0.12,354.68,-0.0065012364648282,0.0076553523540496,3.215988908777945e-05,0.02,0.02,-0.07
5.499466,60145099,-0.0001420833577867,8.693451673025265e-05,354.6852722167969,-0.0029009927529841,0.0033804134000092,-0.003558742115274,0.13,0.12,354.68,-0.0069348053075373,0.0081765837967395,6.0967813624301925e-05,0.02,0.02,-0.07
5.599426,60245059,-0.0001420833432348,8.69345385581255e-05,354.6817626953125,-0.0030882095452398,0.0036015959922224,-0.0035582170821726,0.14,0.13,354.68,-0.0073548699729144,0.0085924882441759,4.330246156314388e-05,0.02,0.02,-0.07
5.699386,60345019,-0.0001420833286829,8.693449490237981e-05,354.6777038574219,-0.003347179852426,0.0039073899388313,-0.003560412209481,0.14,0.13,354.67,-0.0077730901539325,0.0090923188254237,-6.604524514841614e-06,0.02,0.02,-0.07
5.799346,60444979,-0.0001420833286829,8.69344876264222e-05,354.673828125,-0.003536986419931,0.0041336338035762,-0.0035650879144668,0.14,0.13,354.67,-0.0081124175339937,0.0095462556928396,4.910127699986333e-06,0.02,0.02,-0.07
