aggregation_level,baseline_name,axis,component,source_prediction_file,n,mean_residual,std_residual,mae,rmse,max_abs_residual,p95_abs_residual,p99_abs_residual,p995_abs_residual,mean_abs_plus_3std_abs_threshold,recommended_threshold
per_baseline,baseline_03_forward_motion_ATT,Pitch,cv,PHASE3B_RESIDUAL_CSV,227,-3.3128169664393537e-06,0.0020487473574349515,0.001170639588706773,0.0020442324015148535,0.0094548389315602,0.004774713516235287,0.006381136476993426,0.006971095427870624,0.006209314421207899,0.006971095427870624
per_baseline,baseline_03_forward_motion_ATT,Pitch,arx,PHASE3B_RESIDUAL_CSV,227,0.01818415207187098,0.024977947860864318,0.023335261218487127,0.03085146377573227,0.1153954413363464,0.051508947542311875,0.10944440118560433,0.11226802706972028,0.08401247819569115,0.11226802706972028
per_baseline,baseline_03_forward_motion_ATT,Yaw,hybrid,PHASE3B_RESIDUAL_CSV,227,-0.0003864842889863733,0.0008366011520144727,0.0006188077548684849,0.0009198849529806751,0.00341796875,0.002065277099563839,0.003050201416029879,0.003157516479513362,0.0026652280980108346,0.003157516479513362
per_baseline,baseline_03_forward_motion_ATT,Yaw,naive,PHASE3B_RESIDUAL_CSV,227,-0.0006959889953882154,0.0011736440657172374,0.0009390541110269802,0.0013622676151705255,0.0042724609375,0.003057861328124998,0.0038958740234375025,0.0040203857421875,0.00390626484230649,0.0040203857421875
per_baseline,baseline_03_forward_motion_ATT,Yaw,cv,PHASE3B_RESIDUAL_CSV,227,-8.200758876400862e-06,0.0008030708459743655,0.0003805958752089966,0.0008013419785388861,0.004486083984375,0.002203369140624998,0.0034936523437500006,0.0035891723632812504,0.0025008471645589347,0.0035891723632812504
per_baseline,baseline_03_forward_motion_ATT,Yaw,arx,PHASE3B_RESIDUAL_CSV,227,-0.008145421105205075,0.0044425559725021066,0.008197992357797492,0.009273469926696766,0.0197314849054919,0.01352480439811069,0.01820086782298059,0.019189477749944756,0.02123101859823159,0.02123101859823159
per_baseline,baseline_04_yaw_rotation_ATT,Roll,hybrid,PHASE3B_RESIDUAL_CSV,369,0.0025765918158695573,0.004448221915240198,0.0037588964492308264,0.005135355991424864,0.0302688828224192,0.007877120486411919,0.019889277061346907,0.023025759873212617,0.014269967692178642,0.023025759873212617
per_baseline,baseline_04_yaw_rotation_ATT,Roll,naive,PHASE3B_RESIDUAL_CSV,369,-0.00010936743602519864,0.0041138394979708115,0.002451116395836552,0.00410971690413299,0.0182207077741622,0.008972316980361845,0.014611609876155722,0.016594482064247098,0.01236082597933235,0.016594482064247098
per_baseline,baseline_04_yaw_rotation_ATT,Roll,cv,PHASE3B_RESIDUAL_CSV,369,-1.8952661736518016e-05,0.003071859823492122,0.001833715796632126,0.0030677531335041113,0.0135886296629904,0.007401819527149173,0.010342915356159122,0.01254200145602218,0.009221901541396172,0.01254200145602218
per_baseline,baseline_04_yaw_rotation_ATT,Roll,arx,PHASE3B_RESIDUAL_CSV,369,0.0028750317327467527,0.004798563460514494,0.004045628698321926,0.005588346543682473,0.0336766415298262,0.008477776047195473,0.02212025515517012,0.025598572026161292,0.015626908201811625,0.025598572026161292
per_baseline,baseline_04_yaw_rotation_ATT,Pitch,hybrid,PHASE3B_RESIDUAL_CSV,369,0.0010059020786405085,0.003871678284546992,0.00312892926569137,0.003995135631651709,0.0191614107682327,0.007065016989041253,0.015306604965447392,0.016547211214243327,0.010591443070961336,0.016547211214243327
per_baseline,baseline_04_yaw_rotation_ATT,Pitch,naive,PHASE3B_RESIDUAL_CSV,369,-3.588393451721908e-05,0.00398868212061269,0.0022657748190609986,0.003983435365282965,0.0158065012656151,0.009922034665942199,0.013910822048783276,0.014921938050538189,0.012107965268612568,0.014921938050538189
per_baseline,baseline_04_yaw_rotation_ATT,Pitch,cv,PHASE3B_RESIDUAL_CSV,369,2.5341867754749998e-06,0.0029555436654647043,0.001785582487993804,0.0029515372347121726,0.0172870540991426,0.0062391344457865565,0.0096449735760687,0.01167748838663088,0.008845645160743609,0.01167748838663088
per_baseline,baseline_04_yaw_rotation_ATT,Pitch,arx,PHASE3B_RESIDUAL_CSV,369,0.0010059020786405085,0.003871678284546992,0.00312892926569137,0.003995135631651709,0.0191614107682327,0.007065016989041253,0.015306604965447392,0.016547211214243327,0.010591443070961336,0.016547211214243327
per_baseline,baseline_04_yaw_rotation_ATT,Yaw,hybrid,PHASE3B_RESIDUAL_CSV,369,0.0003509376753192449,0.001312355175918754,0.0010125447094882396,0.0013567482982458606,0.0043174743652514,0.003019714355446,0.0037968139648284476,0.0038593444824208947,0.003725406144706244,0.0038593444824208947
per_baseline,baseline_04_yaw_rotation_ATT,Yaw,naive,PHASE3B_RESIDUAL_CSV,369,0.0007693489715658875,0.0017298273519403557,0.0015435360957613482,0.0018910556010464834,0.0050811767578125,0.003421020507812499,0.0040789794921875,0.0046234130859375,0.004825529311361598,0.004825529311361598
per_baseline,baseline_04_yaw_rotation_ATT,Yaw,cv,PHASE3B_RESIDUAL_CSV,369,8.601160230352303e-06,0.0014245147518882372,0.0008138847867970868,0.0014226092073149172,0.0052032470703125,0.003530883789062498,0.0042926025390625,0.004408569335937505,0.004319019864344203,0.004408569335937505
