x,Baseline,Axis,AttackType,AttackActive,AbsResidual,Threshold_static_global,PointExceed_static_global,WindowCount_static_global,WindowDetection_static_global,Threshold_scenario_specific,PointExceed_scenario_specific,WindowCount_scenario_specific,WindowDetection_scenario_specific,Threshold_yaw_static_global,PointExceed_yaw_static_global,WindowCount_yaw_static_global,WindowDetection_yaw_static_global
10.499965,baseline_02_high_altitude_hover,Yaw,pulse,0,5.493164059089395e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
10.599925,baseline_02_high_altitude_hover,Yaw,pulse,0,8.239746091476263e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
10.699885,baseline_02_high_altitude_hover,Yaw,pulse,0,2.7465820380712103e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
10.799845,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001235961913721,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
10.899805,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001098632812954,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
10.999765,baseline_02_high_altitude_hover,Yaw,pulse,0,5.493164064773737e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
11.099725,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001235961913721,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
11.199685,baseline_02_high_altitude_hover,Yaw,pulse,0,8.239746091476263e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
11.299645,baseline_02_high_altitude_hover,Yaw,pulse,0,5.493164064773737e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
11.399605,baseline_02_high_altitude_hover,Yaw,pulse,0,5.493164064773737e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
11.499565,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0002609252929914,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
11.599525,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001510620117528,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
11.699485,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0003845214843636,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
11.799445,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0002197265625341,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
11.899405,baseline_02_high_altitude_hover,Yaw,pulse,1,0.0859505405272784,0.013596,1,1.0,0,0.010773,1,1.0,0,0.013596,1,1.0,0
11.999365,baseline_02_high_altitude_hover,Yaw,pulse,1,0.0860054721679262,0.013596,1,2.0,0,0.010773,1,2.0,0,0.013596,1,2.0,0
12.099325,baseline_02_high_altitude_hover,Yaw,pulse,1,0.0859642734374688,0.013596,1,3.0,1,0.010773,1,3.0,1,0.013596,1,3.0,1
12.200118,baseline_02_high_altitude_hover,Yaw,pulse,1,0.0860054721679262,0.013596,1,4.0,1,0.010773,1,4.0,1,0.013596,1,4.0,1
12.300078,baseline_02_high_altitude_hover,Yaw,pulse,1,0.0859093417968779,0.013596,1,5.0,1,0.010773,1,5.0,1,0.013596,1,5.0,1
12.400038,baseline_02_high_altitude_hover,Yaw,pulse,1,0.0860878696288978,0.013596,1,6.0,1,0.010773,1,6.0,1,0.013596,1,6.0,1
12.499998,baseline_02_high_altitude_hover,Yaw,pulse,1,0.0859917392577926,0.013596,1,7.0,1,0.010773,1,7.0,1,0.013596,1,7.0,1
12.599958,baseline_02_high_altitude_hover,Yaw,pulse,1,0.0861702670898125,0.013596,1,8.0,1,0.010773,1,8.0,1,0.013596,1,8.0,1
12.699918,baseline_02_high_altitude_hover,Yaw,pulse,1,0.0859642734375256,0.013596,1,9.0,1,0.010773,1,9.0,1,0.013596,1,9.0,1
12.799878,baseline_02_high_altitude_hover,Yaw,pulse,1,0.0861840000000029,0.013596,1,10.0,1,0.010773,1,10.0,1,0.013596,1,10.0,1
12.899838,baseline_02_high_altitude_hover,Yaw,pulse,1,0.0860878696288409,0.013596,1,10.0,1,0.010773,1,10.0,1,0.013596,1,10.0,1
12.999798,baseline_02_high_altitude_hover,Yaw,pulse,1,0.086156534179679,0.013596,1,10.0,1,0.010773,1,10.0,1,0.013596,1,10.0,1
13.099758,baseline_02_high_altitude_hover,Yaw,pulse,1,0.0860604038085739,0.013596,1,10.0,1,0.010773,1,10.0,1,0.013596,1,10.0,1
13.199718,baseline_02_high_altitude_hover,Yaw,pulse,1,0.0860878696288978,0.013596,1,10.0,1,0.010773,1,10.0,1,0.013596,1,10.0,1
13.299678,baseline_02_high_altitude_hover,Yaw,pulse,0,2.7465820323868684e-05,0.013596,0,9.0,1,0.010773,0,9.0,1,0.013596,0,9.0,1
13.399638,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0035430908202442,0.013596,0,8.0,1,0.010773,0,8.0,1,0.013596,0,8.0,1
13.499598,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0092697143554687,0.013596,0,7.0,1,0.010773,0,7.0,1,0.013596,0,7.0,1
13.599558,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0115219116211164,0.013596,0,6.0,1,0.010773,1,7.0,1,0.013596,0,6.0,1
