x,Baseline,Axis,AttackType,AttackMagnitude,AttackActive,CleanFuture_Yaw,AttackedFuture_Yaw,V9PredictedFuture_Yaw,Residual_Yaw,AbsResidual_Yaw,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,WindowRule,W,N,RollingMeanMultiplier,AlignmentOffset,PredictionColumn,CleanFile,PredictionFile,Yaw_recovered_future_v9_phase5,Yaw_recovery_source_phase5,Yaw_attacked_error_vs_clean_phase5,Yaw_recovered_error_vs_clean_phase5
2.000033,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.59194946289062,172.59194946289062,172.5928977966309,-0.0009483337402684,0.0009483337402684,0.003797,0,0.0,0.0003847885131861,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59194946289062,attacked_measurement,0.0,0.0
2.099993,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.59523010253906,172.59523010253906,172.5970344543457,-0.0018043518066406,0.0018043518066406,0.003797,0,0.0,0.0004640960693393,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59523010253906,attacked_measurement,0.0,0.0
2.200786,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.59573364257812,172.59573364257812,172.59601058959962,-0.00027694702149,0.00027694702149,0.003797,0,0.0,0.0004569625854529,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59573364257812,attacked_measurement,0.0,0.0
2.300746,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.5940704345703,172.5940704345703,172.59315567016603,0.0009147644042855,0.0009147644042855,0.003797,0,0.0,0.0005010223388708,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.5940704345703,attacked_measurement,0.0,0.0
2.400706,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.5921173095703,172.5921173095703,172.59104309082034,0.0010742187499772,0.0010742187499772,0.003797,0,0.0,0.0005442428588892,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.5921173095703,attacked_measurement,0.0,0.0
2.500666,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.59365844726562,172.59365844726562,172.59450607299806,-0.0008476257324332,0.0008476257324332,0.003797,0,0.0,0.0005757141113306,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59365844726562,attacked_measurement,0.0,0.0
2.600626,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.59622192382812,172.59622192382812,172.5976318359375,-0.0014099121093806,0.0014099121093806,0.003797,0,0.0,0.000631523132327,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59622192382812,attacked_measurement,0.0,0.0
2.700586,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.59613037109375,172.59613037109375,172.59608001708983,5.035400391761869e-05,5.035400391761869e-05,0.003797,0,0.0,0.0006118011474626,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59613037109375,attacked_measurement,0.0,0.0
2.800546,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.59259033203125,172.59259033203125,172.5906433105469,0.0019470214843408,0.0019470214843408,0.003797,0,0.0,0.0006965637207031,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59259033203125,attacked_measurement,0.0,0.0
2.900506,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.58750915527344,172.58750915527344,172.58471450805666,0.0027946472167741,0.0027946472167741,0.003797,0,0.0,0.000832519531248,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.58750915527344,attacked_measurement,0.0,0.0
3.000466,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.58578491210938,172.58578491210938,172.58483657836916,0.0009483337402116,0.0009483337402116,0.003797,0,0.0,0.0008728027343721,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.58578491210938,attacked_measurement,0.0,0.0
3.100426,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.58778381347656,172.58778381347656,172.58888320922853,-0.0010993957519644,0.0010993957519644,0.003797,0,0.0,0.0008967208862287,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.58778381347656,attacked_measurement,0.0,0.0
3.200386,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.5907440185547,172.5907440185547,172.59237213134767,-0.0016281127929858,0.0016281127929858,0.003797,0,0.0,0.0009118270874026,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.5907440185547,attacked_measurement,0.0,0.0
3.300346,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.59127807617188,172.59127807617188,172.59157180786133,-0.0002937316894531,0.0002937316894531,0.003797,0,0.0,0.0008736419677745,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59127807617188,attacked_measurement,0.0,0.0
3.400306,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.58807373046875,172.58807373046875,172.58631134033203,0.0017623901367187,0.0017623901367187,0.003797,0,0.0,0.0009407806396495,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.58807373046875,attacked_measurement,0.0,0.0
3.500266,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.58570861816406,172.58570861816406,172.58440780639648,0.0013008117675781,0.0013008117675781,0.003797,0,0.0,0.0009827423095714,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.58570861816406,attacked_measurement,0.0,0.0
3.600226,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.58731079101562,172.58731079101562,172.58819198608398,-0.0008811950683593,0.0008811950683593,0.003797,0,0.0,0.0010154724121093,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.58731079101562,attacked_measurement,0.0,0.0
3.700186,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.5913848876953,172.5913848876953,172.59362564086916,-0.0022407531738508,0.0022407531738508,0.003797,0,0.0,0.0011170196533214,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.5913848876953,attacked_measurement,0.0,0.0
3.800146,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.59300231933594,172.59300231933594,172.5938919067383,-0.0008895874023551,0.0008895874023551,0.003797,0,0.0,0.0011598205566414,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59300231933594,attacked_measurement,0.0,0.0
