x,AttackActive,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,Residual_Roll,AbsResidual_Roll,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
2.499833,0,0.0935176312923431,0.0935176312923431,0.0951353082932145,-0.001617677000871398,0.001617677000871398,0.006861,0,7.0,0.01117687527489843,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
2.599793,0,0.0949416980147361,0.0949416980147361,0.1014253713536984,-0.006483673338962298,0.006483673338962298,0.006861,0,6.0,0.0095871321087099,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
2.699753,0,0.0967017188668251,0.0967017188668251,0.092077017275797,0.00462470159102811,0.00462470159102811,0.006861,0,5.0,0.008251384233984622,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
2.799713,0,0.098469354212284,0.098469354212284,0.0935660690416687,0.004903285170615307,0.004903285170615307,0.006861,0,4.0,0.007135673665824123,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
2.899673,0,0.1003110259771347,0.1003110259771347,0.0886519915126921,0.011659034464442608,0.011659034464442608,0.006861,1,4.0,0.006954000378051654,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
2.999633,0,0.1021263003349304,0.1021263003349304,0.0901069077453778,0.012019392589552605,0.012019392589552605,0.006861,1,4.0,0.007164331044939204,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
3.099593,0,0.1036358997225761,0.1036358997225761,0.0843210720722817,0.019314827650294394,0.019314827650294394,0.006861,1,4.0,0.008322553079473053,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
3.199553,0,0.1055195778608322,0.1055195778608322,0.0913491519485457,0.014170425912286497,0.014170425912286497,0.006861,1,4.0,0.008651659580218412,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
3.299513,0,0.1072343066334724,0.1072343066334724,0.0967134830625997,0.010520823570872695,0.010520823570872695,0.006861,1,5.0,0.00911554487492985,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
3.399473,0,0.1087693497538566,0.1087693497538566,0.1003905720836858,0.008378777670170798,0.008378777670170798,0.006861,1,6.0,0.009369261895909671,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
3.499433,0,0.110332079231739,0.110332079231739,0.0991692789820342,0.011162800249704799,0.011162800249704799,0.006861,1,7.0,0.010323774220793011,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
3.599393,0,0.1119583770632743,0.1119583770632743,0.1068415286126765,0.005116848450597802,0.005116848450597802,0.006861,0,7.0,0.010187091731956562,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
3.699353,0,0.1138535514473915,0.1138535514473915,0.1061851830970919,0.00766836835029959,0.00766836835029959,0.006861,1,8.0,0.01049145840788371,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
3.799313,0,0.1157708615064621,0.1157708615064621,0.1056394126229102,0.0101314488835519,0.0101314488835519,0.006861,1,9.0,0.01101427477917737,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
3.899273,0,0.1175926104187965,0.1175926104187965,0.1083696537731395,0.009222956645657004,0.009222956645657004,0.006861,1,9.0,0.010770666997298808,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
3.999233,0,0.1194996610283851,0.1194996610283851,0.1076278911058925,0.0118717699224926,0.0118717699224926,0.006861,1,9.0,0.010755904730592809,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
4.099193,0,0.1213719248771667,0.1213719248771667,0.1063768203313201,0.014995104545846613,0.014995104545846613,0.006861,1,9.0,0.01032393242014803,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
