baseline,axis,attack_type,threshold_method,dynamic_method_detail,dynamic_note,W,N,TP,FP,TN,FN,precision,recall,f1,false_positive_rate,detection_delay_samples,n_eval_samples,input_segment_csv
baseline_02_high_altitude_hover,Yaw,pulse,static_global,,,10,3,12,7,261,2,0.631578947368421,0.8571428571428571,0.7272727272727273,0.026119402985074626,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Yaw_pulse_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Yaw,pulse,scenario_specific,,,10,3,12,9,259,2,0.5714285714285714,0.8571428571428571,0.6857142857142857,0.033582089552238806,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Yaw_pulse_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Yaw,pulse,yaw_static_global,yaw_static_global,Yaw uses conservative static global threshold,10,3,12,7,261,2,0.631578947368421,0.8571428571428571,0.7272727272727273,0.026119402985074626,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Yaw_pulse_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Yaw,ramp,static_global,,,10,3,65,7,190,20,0.9027777777777778,0.7647058823529411,0.8280254777070064,0.03553299492385787,20,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Yaw_ramp_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Yaw,ramp,scenario_specific,,,10,3,68,7,190,17,0.9066666666666666,0.8,0.8500000000000001,0.03553299492385787,17,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Yaw_ramp_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Yaw,ramp,yaw_static_global,yaw_static_global,Yaw uses conservative static global threshold,10,3,65,7,190,20,0.9027777777777778,0.7647058823529411,0.8280254777070064,0.03553299492385787,20,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Yaw_ramp_aligned_attacked_segment.csv
baseline_03_forward_motion,Pitch,bias,static_global,,,10,3,66,7,152,2,0.9041095890410958,0.9705882352941176,0.9361702127659575,0.0440251572327044,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Pitch_bias_aligned_attacked_segment.csv
baseline_03_forward_motion,Pitch,bias,scenario_specific,,,10,3,66,7,152,2,0.9041095890410958,0.9705882352941176,0.9361702127659575,0.0440251572327044,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Pitch_bias_aligned_attacked_segment.csv
baseline_03_forward_motion,Pitch,bias,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_XKF1.csv,10,3,66,7,152,2,0.9041095890410958,0.9705882352941176,0.9361702127659575,0.0440251572327044,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Pitch_bias_aligned_attacked_segment.csv
baseline_03_forward_motion,Pitch,pulse,static_global,,,10,3,8,10,207,2,0.4444444444444444,0.8,0.5714285714285714,0.04608294930875576,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Pitch_pulse_aligned_attacked_segment.csv
